action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1989319,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC(C)C)cc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '20.94', 'le': '0.38', 'lle': '2.89', 'sei': '9.46'}",CHEMBL237346,,CHEMBL237346,7.02,0,http://www.openphacts.org/units/Nanomolar,663615,=,1,1,=,,IC50,nM,,95.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,95.0
,,1989320,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '21.68', 'le': '0.39', 'lle': '2.05', 'sei': '12.23'}",CHEMBL237345,,CHEMBL237345,7.10,0,http://www.openphacts.org/units/Nanomolar,663614,=,1,1,=,,IC50,nM,,80.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,80.0
,,1989321,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cccc(Nc2ccnc3cc(-c4ccccn4)ccc23)c1,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '26.24', 'le': '0.47', 'lle': '3.47', 'sei': '14.17'}",CHEMBL237344,,CHEMBL237344,8.22,0,http://www.openphacts.org/units/Nanomolar,663613,=,1,1,=,,IC50,nM,,6.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,6.0
,,1989322,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2cc(-c3ccccn3)ccc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '21.76', 'le': '0.39', 'lle': '2.07', 'sei': '12.28'}",CHEMBL395358,,CHEMBL395358,7.12,0,http://www.openphacts.org/units/Nanomolar,663612,=,1,1,=,,IC50,nM,,75.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,75.0
,,1989323,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,OCc1nc(-c2ccc3c(Nc4cc(O)c(F)cc4Cl)ccnc3c2)cs1,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '18.92', 'le': '0.38', 'lle': '2.51', 'sei': '9.71'}",CHEMBL237128,,CHEMBL237128,7.60,0,http://www.openphacts.org/units/Nanomolar,663611,=,1,1,=,,IC50,nM,,25.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,25.0
,,1989324,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '21.03', 'le': '0.40', 'lle': '2.67', 'sei': '10.12'}",CHEMBL237127,,CHEMBL237127,7.60,0,http://www.openphacts.org/units/Nanomolar,663610,=,1,1,=,,IC50,nM,,25.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,25.0
,,1989325,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cc(Nc2ccnc3cc(-c4cccc(CNCCN5CCOCC5)c4)ccc23)c(F)cc1Cl,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '14.05', 'le': '0.27', 'lle': '1.55', 'sei': '10.23'}",CHEMBL237126,,CHEMBL237126,7.12,0,http://www.openphacts.org/units/Nanomolar,663609,=,1,1,=,,IC50,nM,,75.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,75.0
,,1989326,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1cc(C(F)(F)F)nc2cc(-c3ccncc3)ccc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,,CHEMBL393115,,CHEMBL393115,,0,http://www.openphacts.org/units/Nanomolar,663608,>,1,1,>,,IC50,nM,,1000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,1000.0
,,1989327,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cccc(Nc2c(Cl)cnc3cc(-c4cncs4)ccc23)c1,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '19.78', 'le': '0.40', 'lle': '1.54', 'sei': '12.06'}",CHEMBL392856,,CHEMBL392856,7.00,0,http://www.openphacts.org/units/Nanomolar,663607,=,1,1,=,,IC50,nM,,100.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,100.0
,,2031972,[],CHEMBL887807,Inhibition of RET in mouse NIH3T3MEN2A cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)/C(=C\c1ccc(O)cc1)C(=O)N2,,,CHEMBL1139977,Bioorg Med Chem Lett,2007,"{'bei': '22.77', 'le': '0.42', 'lle': '3.87', 'sei': '9.99'}",CHEMBL391567,,CHEMBL391567,6.77,0,http://www.openphacts.org/units/Nanomolar,674573,=,1,1,=,,IC50,nM,,170.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.17
,,2031973,[],CHEMBL887807,Inhibition of RET in mouse NIH3T3MEN2A cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)N3CCN(C)CC3)cc1)C(=O)N2,,,CHEMBL1139977,Bioorg Med Chem Lett,2007,,CHEMBL247713,,CHEMBL247713,,0,http://www.openphacts.org/units/Nanomolar,674586,>,1,1,>,,IC50,nM,,3000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,3.0
,,2031974,[],CHEMBL887807,Inhibition of RET in mouse NIH3T3MEN2A cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccc(O)cc3)cc1)C(=O)N2,,,CHEMBL1139977,Bioorg Med Chem Lett,2007,"{'bei': '16.92', 'le': '0.31', 'lle': '2.75', 'sei': '6.70'}",CHEMBL396098,,CHEMBL396098,7.30,0,http://www.openphacts.org/units/Nanomolar,674580,=,1,1,=,,IC50,nM,,50.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.05
,,2031975,[],CHEMBL887807,Inhibition of RET in mouse NIH3T3MEN2A cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccccc3)cc1)C(=O)N2,,,CHEMBL1139977,Bioorg Med Chem Lett,2007,"{'bei': '16.12', 'le': '0.30', 'lle': '1.86', 'sei': '7.55'}",CHEMBL246685,,CHEMBL246685,6.70,0,http://www.openphacts.org/units/Nanomolar,674577,=,1,1,=,,IC50,nM,,200.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.2
,,2031977,[],CHEMBL887807,Inhibition of RET in mouse NIH3T3MEN2A cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(NC(=O)Nc2ccc(/C=C3/C(=O)Nc4cc(OC)c(OC)cc43)cc2)cc1,,,CHEMBL1139977,Bioorg Med Chem Lett,2007,"{'bei': '14.00', 'le': '0.26', 'lle': '1.39', 'sei': '6.37'}",CHEMBL246064,,CHEMBL246064,6.24,0,http://www.openphacts.org/units/Nanomolar,674581,=,1,1,=,,IC50,nM,,580.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.58
,Not Determined,2034012,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,c1ccc2c(-c3cnc4[nH]nc(-c5nc6ccccc6[nH]5)c4c3)cncc2c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL391437,,CHEMBL391437,,0,,675280,,1,0,,,IC50,,,,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,,,,
,,2034107,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC(F)(F)F)ccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL400906,,CHEMBL400906,,0,http://www.openphacts.org/units/Nanomolar,675303,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034108,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL400568,,CHEMBL400568,,0,http://www.openphacts.org/units/Nanomolar,675299,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,10.0
,,2034109,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3nn(C)c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL251740,,CHEMBL251740,,0,http://www.openphacts.org/units/Nanomolar,675297,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034110,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249501,,CHEMBL249501,,0,http://www.openphacts.org/units/Nanomolar,675294,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034111,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL399042,,CHEMBL399042,,0,http://www.openphacts.org/units/Nanomolar,675293,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034112,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)NCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL401064,,CHEMBL401064,,0,http://www.openphacts.org/units/Nanomolar,675289,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034113,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncnc5)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249302,,CHEMBL249302,,0,http://www.openphacts.org/units/Nanomolar,675288,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034114,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5ccncc5)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249096,,CHEMBL249096,,0,http://www.openphacts.org/units/Nanomolar,675287,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034115,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cnc6ccccc6c5)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249095,,CHEMBL249095,,0,http://www.openphacts.org/units/Nanomolar,675285,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034116,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)OCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249094,,CHEMBL249094,,0,http://www.openphacts.org/units/Nanomolar,675284,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034117,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL248891,,CHEMBL248891,,0,http://www.openphacts.org/units/Nanomolar,675283,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,10.0
,,2034118,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,OCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL248890,,CHEMBL248890,,0,http://www.openphacts.org/units/Nanomolar,675282,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,100.0
,,2034207,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1C,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,,CHEMBL249519,,CHEMBL249519,,0,http://www.openphacts.org/units/Nanomolar,675306,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,10.0
,,2034208,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc(CN(C)C)c5)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '13.28', 'le': '0.24', 'lle': '1.72', 'sei': '5.74'}",CHEMBL249518,,CHEMBL249518,5.49,0,http://www.openphacts.org/units/Nanomolar,675305,=,1,1,=,,IC50,nM,,3230.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,3.23
,,2034209,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '15.02', 'le': '0.27', 'lle': '2.32', 'sei': '5.75'}",CHEMBL429478,,CHEMBL429478,6.00,0,http://www.openphacts.org/units/Nanomolar,675304,=,1,1,=,,IC50,nM,,1000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,1.0
,,2034210,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '17.96', 'le': '0.33', 'lle': '3.15', 'sei': '7.31'}",CHEMBL248713,,CHEMBL248713,6.96,0,http://www.openphacts.org/units/Nanomolar,675302,=,1,1,=,,IC50,nM,,110.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.11
,,2034211,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)c(F)cc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '15.81', 'le': '0.29', 'lle': '2.46', 'sei': '6.73'}",CHEMBL248712,,CHEMBL248712,6.41,0,http://www.openphacts.org/units/Nanomolar,675301,=,1,1,=,,IC50,nM,,390.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.39
,,2034212,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '14.66', 'le': '0.27', 'lle': '3.43', 'sei': '6.74'}",CHEMBL400569,,CHEMBL400569,6.85,0,http://www.openphacts.org/units/Nanomolar,675300,=,1,1,=,,IC50,nM,,140.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.14
,,2034213,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '15.02', 'le': '0.27', 'lle': '2.57', 'sei': '5.75'}",CHEMBL400749,,CHEMBL400749,6.00,0,http://www.openphacts.org/units/Nanomolar,675298,=,1,1,=,,IC50,nM,,1000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,1.0
,,2034214,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '12.81', 'le': '0.23', 'lle': '0.71', 'sei': '5.71'}",CHEMBL251739,,CHEMBL251739,5.91,0,http://www.openphacts.org/units/Nanomolar,675296,=,1,1,=,,IC50,nM,,1230.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,1.23
,,2034215,[],CHEMBL888279,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)NC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,,,CHEMBL1140014,Bioorg Med Chem Lett,2007,"{'bei': '14.27', 'le': '0.26', 'lle': '1.54', 'sei': '5.69'}",CHEMBL249502,,CHEMBL249502,6.39,0,http://www.openphacts.org/units/Nanomolar,675295,=,1,1,=,,IC50,nM,,410.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.41
